,S.No,Quiz_id,User id,Username,Question Number,Questions,Answer,correct_or_not,cosine_similarity,difficulty_level,Start_time,End_time
0,1,281,15,Jayasree,1,"Design a 'Security-Aware Scheduler' that can detect and mitigate malicious process behavior while maintaining system performance. Include anomaly detection, resource limiting, and isolation mechanisms in your design.","A Security-Aware Scheduler is an advanced process scheduling system that ensures both efficient resource allocation and system security. It continuously monitors process behavior and uses anomaly detection techniques to identify suspicious or malicious activities. Based on the risk level, it applies resource limiting strategies such as CPU and memory control to prevent misuse. High-risk processes are isolated using sandboxing or containerization to protect the system. This approach helps maintain optimal performance while safeguarding against potential threats.",0,0.722,create,2026-04-01T11:13:59.000,2026-04-01T11:15:52.000
1,2,281,15,Jayasree,2,"Apply interrupt handling concepts to design a solution for a multi-device embedded system with a keyboard, network interface, and timer that all generate interrupts. How would you implement interrupt prioritization and handling to ensure critical events are processed promptly?","In a multi-device embedded system, interrupt handling is designed using a priority-based scheme where critical devices like the timer are given the highest priority, followed by the network interface and then the keyboard. An Interrupt Service Routine (ISR) is assigned to each device, and a centralized interrupt controller manages prioritization. Techniques such as interrupt nesting allow higher-priority interrupts to preempt lower-priority ones for faster response. Additionally, interrupt masking is used to temporarily block lower-priority interrupts during critical processing. This ensures timely handling of important events while maintaining overall system efficiency.",1,0.81,apply,2026-04-01T11:15:52.000,2026-04-01T11:16:25.000
2,3,281,15,Jayasree,3,"Analyze why the add() and remove() operations remain O(n) in the sorted list implementation despite the binary search optimization, and evaluate the overall impact on Set ADT performance.","In a sorted list implementation, binary search reduces the search time for locating the position to O(log n), but the add() and remove() operations still require shifting elements, which takes O(n) time. This shifting is necessary to maintain the sorted order of the list after insertion or deletion. As a result, the overall time complexity of these operations remains O(n) despite the faster search. This impacts the Set ADT performance, making it less efficient for frequent updates compared to structures like balanced trees or hash-based sets.",1,0.899,analyze,2026-04-01T11:16:25.000,2026-04-01T11:16:54.000
3,4,281,15,Jayasree,4,Summarize how the Game of Life rules work together to create population dynamics and explain why simultaneous application is important.,"In Conway’s Game of Life, each cell follows simple rules based on its neighbors, such as survival, birth, or death. These rules work together to create complex population dynamics like growth, stability, and patterns over time. The interaction between cells leads to emergent behaviors without central control. Simultaneous application of rules ensures that all cells update at the same time step, preventing bias from sequential changes. This preserves the accuracy and consistency of the simulation.",0,0.793,understand,2026-04-01T11:16:54.000,2026-04-01T11:17:27.000
4,5,281,15,Jayasree,5,What does the ctypes module provide in Python?,"The ctypes module in Python provides a way to call functions in C libraries directly from Python code. It allows developers to use existing native libraries without writing additional wrapper code. The module supports defining C-compatible data types such as structures, arrays, and pointers. It also enables passing parameters and receiving return values from C functions. This helps improve performance and extend Python functionality using low-level system libraries.",0,0.761,remember,2026-04-01T11:17:27.000,2026-04-01T11:17:53.000
5,6,283,25,Sathiya2004,1,Assess the pedagogical value of teaching an O(n) Map implementation when students have access to O(1) dictionary implementations. Evaluate whether this approach effectively prepares students for real-world programming or creates misconceptions about appropriate data structure choices.,"Teaching an O(n) Map (e.g., list of key–value pairs) alongside O(1) dictionary/hash map implementations can be pedagogically valuable—but only if it’s framed carefully. Otherwise, it risks leaving students with the wrong instincts. Where it adds real value At its best, teaching an O(n) Map helps students understand why faster structures exist. Builds conceptual foundations Students see how a Map works from first principles: iteration, equality checks, and storage. This demystifies higher-level abstractions like hash tables. Introduces algorithmic trade-offs Comparing O(n) lookup vs O(1) average-case lookup makes complexity concrete, not just theoretical. Prepares for constrained or specialized cases In real-world scenarios, O(n) structures are sometimes appropriate: Very small datasets (constant factors dominate) Memory-constrained environments Ordered or append-heavy use cases Bridges to deeper topics It creates a natural pathway to discuss hashing, collisions, load factors, and worst-case degradation (e.g., hash maps becoming O(n)). Where it can go wrong If not contextualized, it can create misleading mental models: Students may overgeneralize They might think “Maps are O(n)” or fail to internalize when O(1) is expected in practice. Disconnect from real-world tools Most production code uses built-in hash maps (e.g., Python dict, Java HashMap). Overemphasizing O(n) implementations can feel irrelevant. Missed emphasis on choice The key skill in real programming is selecting the right data structure—not implementing suboptimal ones. Does it prepare students for real-world programming? Yes—conditionally. It prepares students well if: The O(n) Map is presented as a stepping stone, not a recommended default There is explicit comparison with hash maps Students practice",0,0.604,evaluate,2026-04-01T11:25:00.000,2026-04-01T11:26:36.000
6,7,283,25,Sathiya2004,2,What are the two fundamental models of interprocess communication (IPC)?,"The two fundamental models of interprocess communication (IPC) are:

1. Shared Memory Model

Processes communicate by reading and writing to a common memory region.

The operating system sets up a shared memory segment.
Multiple processes can access this region directly.
Communication is fast because it avoids kernel involvement after setup.
However, it requires explicit synchronization (e.g., locks, semaphores) to prevent race conditions.

Key idea: Communication happens through shared state.

2. Message Passing Model

Processes communicate by sending and receiving messages.

The OS provides system calls like send and receive.
No shared address space is needed.
Can be synchronous (blocking) or asynchronous (non-blocking).
Easier to implement safely, but typically slower due to system call overhead.

Key idea: Communication happens through explicit data exchange.",0,0.762,remember,2026-04-01T11:26:36.000,2026-04-01T11:27:08.000
7,8,283,25,Sathiya2004,3,Compare and contrast procedural abstraction and data abstraction. Provide examples to illustrate how each type of abstraction works.,"Procedural abstraction and data abstraction are two fundamental techniques for managing complexity in programming, focusing on behavior and data respectively.

Procedural abstraction hides the internal steps of a computation and exposes only the function’s purpose. Programmers use functions or procedures to perform tasks without needing to understand how they are implemented. For example, a function like sort(numbers) allows a user to sort a list without knowing whether the algorithm is quicksort or mergesort. This simplifies code usage and improves readability by emphasizing what the operation does rather than how it works.

In contrast, data abstraction hides the internal representation of data and exposes only controlled ways to access or modify it. It is commonly implemented using classes or abstract data types. For instance, a BankAccount class may store a balance internally but only allow access through methods like deposit() and get_balance(). The user does not need to know how the balance is stored, only how to interact with it. This protects data integrity and allows internal changes without affecting external code.

The key difference lies in their focus: procedural abstraction deals with operations, while data abstraction deals with structure. Procedural abstraction simplifies actions, whereas data abstraction organizes and safeguards data.

In practice, both work together. A class uses data abstraction to hide its internal state and procedural abstraction to define operations on that state. Together, they enable modular, maintainable, and scalable software design by separating concerns and reducing complexity.",1,0.895,understand,2026-04-01T11:27:09.000,2026-04-01T11:27:56.000
8,9,283,25,Sathiya2004,4,Explain the rationale behind rate-monotonic scheduling's priority assignment and why it has utilization limitations despite being optimal.,"Rationale behind priority assignment

The intuition is straightforward:

Tasks that run more frequently have tighter timing constraints.
Missing one instance of a fast (short-period) task is more likely to cause system failure than delaying a slower task.

By giving higher priority to short-period tasks, RMS ensures:

Critical, time-sensitive tasks preempt less urgent ones
Each task gets enough CPU time before its next deadline

This assignment is mathematically proven to be optimal among all fixed-priority scheduling algorithms. That means:

If any fixed-priority scheme can schedule a given task set, RMS can too.

Why utilization is limited

Despite being “optimal,” RMS cannot fully utilize the CPU in all cases.

1. Worst-case interference

Higher-priority tasks can preempt lower-priority ones multiple times. To guarantee deadlines in the worst case, RMS must assume maximum interference.

This leads to a conservative utilization bound:

𝑈
≤
𝑛
(
2
1
/
𝑛
−
1
)
U≤n(2
1/n
−1)
For many tasks, this approaches about 69% CPU utilization
Even if actual execution would succeed at higher utilization, RMS may reject it
2. Static priority rigidity

RMS uses fixed priorities:

It cannot adapt dynamically to runtime conditions
Lower-priority tasks may suffer delays even if higher-priority tasks finish early
3. Optimal ≠ perfect

“Optimal” here means:

Best among fixed-priority algorithms
Not best overall

Dynamic schemes like Earliest Deadline First (EDF) can achieve up to 100% utilization under ideal",0,0.726,understand,2026-04-01T11:27:56.000,2026-04-01T11:28:46.000
9,10,283,25,Sathiya2004,5,Explain how threads differ from traditional processes in terms of resource sharing and control flow.,"Resource Sharing

A process is an independent program with its own resources:

Separate address space (memory)
Own variables, stack, and heap
File descriptors and system resources are typically isolated

Because of this isolation:

Processes do not share data directly
Communication requires interprocess communication (IPC) mechanisms (e.g., message passing, shared memory)

In contrast, threads are lightweight units of execution within the same process:

They share the same address space
Share global variables, heap memory, and open files
Each thread only has its own stack and registers

This makes thread communication:

Faster and simpler (shared memory access)
But also riskier, requiring synchronization (locks, semaphores) to avoid race conditions
 Control Flow

A process has a single main flow of execution:

Multiple processes run independently
Context switching between processes is expensive due to memory and state changes

A multithreaded process, however:

Contains multiple threads executing concurrently
Each thread represents a separate control flow within the same program

Thread context switching is:

Faster and lighter than process switching
More efficient for tasks like parallelism and responsiveness (e.g., UI + background work)",0,0.77,understand,2026-04-01T11:28:46.000,2026-04-01T11:29:28.000
