question_text,bloom_level,answer
What is an operating system?,remember,"An operating system is software that manages a computer's hardware, provides a basis for application programs, and acts as an intermediary between the computer user and the computer hardware."
What are the four main components of a computer system?,remember,"The four main components of a computer system are: hardware (CPU, memory, and I/O devices), operating system, application programs, and users."
What happens when the CPU receives an interrupt?,remember,"When the CPU receives an interrupt, it stops what it is doing and immediately transfers execution to a fixed location where the interrupt service routine is located."
"What technology is commonly used to implement main memory, and what is its key characteristic?",remember,"Main memory is commonly implemented using dynamic random-access memory (DRAM), and its key characteristic is that it is volatile, meaning it loses its content when power is turned off."
What is the purpose of multiprogramming and what is a program in execution called?,remember,The purpose of multiprogramming is to increase CPU utilization by organizing programs so that the CPU always has one to execute. A program in execution is called a process.
What are the two basic modes of operation in a computer system and how are they indicated?,remember,The two basic modes of operation are user mode and kernel mode. They are indicated by a mode bit: kernel mode (0) and user mode (1).
What is a system call?,remember,A system call is the method used by a process to request action by the operating system.
What does SMP stand for and what is its characteristic?,remember,"SMP stands for symmetric multiprocessing, where each peer CPU processor performs all tasks, including operating-system functions and user processes."
What is a clustered system and how does it differ from multiprocessor systems?,remember,"A clustered system gathers together multiple CPUs and differs from multiprocessor systems in that it is composed of two or more individual systems (nodes) joined together, where each node is typically a multicore system."
What is the difference between protection and security in operating systems?,remember,"Protection is any mechanism for controlling the access of processes or users to system resources, while security defends a system from external and internal attacks such as viruses, worms, denial-of-service attacks, identity theft, and theft of service."
"Analyze the relationship between storage capacity, access time, and cost in the storage hierarchy. Why does this trade-off exist and how does it impact system design decisions?",analyze,"The storage hierarchy demonstrates an inverse relationship between speed and capacity/cost. Faster storage (registers, cache) is expensive and limited in size, while slower storage (hard disks, tapes) is cheaper and offers larger capacity. This trade-off exists due to physical and technological constraints - faster access requires more expensive materials and manufacturing processes. System designers must balance performance needs with cost constraints, using fast storage for frequently accessed data and slower storage for bulk data, creating a tiered approach that optimizes both performance and cost-effectiveness."
"Analyze how the components of multiprogramming and multitasking systems interact with each other. What are the dependencies between memory management, CPU scheduling, and protection?",analyze,"The components are highly interdependent: Memory management must allocate space for multiple processes while preventing them from accessing each other's memory (protection). CPU scheduling determines which process runs when, but depends on memory management to ensure scheduled processes are loaded. Protection mechanisms must coordinate with both to enforce access controls. If any component fails, the entire system's integrity is compromised - poor memory management can cause scheduling failures, inadequate protection can allow processes to interfere with scheduling decisions, and poor scheduling can lead to memory thrashing."
"Analyze the dual-mode operation mechanism. How do the mode transitions, privileged instructions, and system calls work together to maintain system security and functionality?",analyze,"The dual-mode system creates a controlled interface between user programs and system resources. User mode restricts access to critical operations, while kernel mode allows full system control. System calls provide a secure gateway - they trigger controlled mode transitions that temporarily elevate privileges to execute requested services, then return to user mode. This mechanism prevents user programs from directly accessing hardware or critical system functions while still allowing necessary operations through the operating system's mediation, maintaining both security and functionality."
"Compare and analyze the efficiency implications of polling-based I/O, interrupt-driven I/O, and DMA. How does each approach affect CPU utilization and system throughput?",analyze,"Polling wastes CPU cycles continuously checking device status, resulting in poor CPU utilization. Interrupt-driven I/O improves efficiency by allowing the CPU to work on other tasks until interrupted, but still requires CPU intervention for each data transfer. DMA provides the highest efficiency by eliminating CPU involvement in data transfers entirely - the CPU only handles setup and completion, maximizing both CPU utilization and I/O throughput. Each approach represents an evolution toward better resource utilization, with DMA being optimal for high-volume data transfers while interrupts work well for smaller operations."
Analyze the fundamental differences in design philosophy between clustered systems and multiprocessor systems. How do their different goals influence their architecture and implementation?,analyze,"Multiprocessor systems prioritize performance by tightly coupling processors that share memory and resources, enabling parallel execution but creating single points of failure. Clustered systems prioritize availability by loosely coupling independent systems with redundancy, accepting some performance overhead for fault tolerance. This leads to different architectural choices: multiprocessors use shared buses and memory for speed, while clusters use network connections and distributed storage for resilience. The design trade-offs reflect their goals - multiprocessors optimize for computational throughput while clusters optimize for service continuity."
Analyze the cache coherency problem in multiprocessor systems. What causes this problem and how does it relate to the principles of caching?,analyze,"Cache coherency problems arise from the fundamental principle that caches store copies of data to improve access speed. In multiprocessor systems, when multiple CPUs cache the same data item, updates by one CPU create inconsistency - other CPUs may have stale copies. This violates the assumption that cached data reflects the current state. The problem intensifies with write operations because the original data and all copies must be updated or invalidated. Solutions require either hardware protocols to maintain consistency or software coordination to prevent conflicting access, both adding complexity and potential performance overhead."
Analyze why mobile operating systems have evolved to include extensive middleware frameworks. How does this architectural approach address the unique challenges of mobile computing?,analyze,"Mobile systems face unique constraints: limited resources, diverse hardware, battery life concerns, and need for rich user experiences. Middleware frameworks address these by providing optimized, standardized services that applications can use without reimplementing common functionality. This reduces individual app resource consumption, ensures consistent performance across different hardware, and enables sophisticated features while maintaining efficiency. The framework approach also allows the OS to manage resources globally (like power and memory) while hiding complexity from developers, making mobile development more accessible while maintaining system-level optimization."
